City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Sambava,MG,-14.2667,50.1667,75.83,93,100,10.54,moderate rain
239,Tautira,PF,-17.7333,-149.15,80.62,79,100,20.54,overcast clouds
240,Hartselle,US,34.4434,-86.9353,34.84,97,100,16.49,overcast clouds
241,Moskovskiy,RU,55.5991,37.355,26.67,88,100,8.99,light snow
242,Port Hardy,CA,50.6996,-127.4199,44.76,93,100,10.36,light intensity shower rain
243,Caravelas,BR,-17.7125,-39.2481,83.71,61,2,9.08,clear sky
244,Ban Nahin,LA,18.2418,104.2122,60.48,88,7,4.14,clear sky
245,Nouakchott,MR,18.0858,-15.9785,84.13,46,95,11.36,overcast clouds
246,Kruisfontein,ZA,-34.0033,24.7314,67.91,80,2,15.97,clear sky
247,Araouane,ML,18.9048,-3.5265,70.65,14,1,8.81,clear sky
248,Port Lincoln,AU,-34.7333,135.8667,70.65,75,100,11.05,overcast clouds
249,Arshan,RU,46.2732,44.22,19.45,92,40,6.71,scattered clouds
250,Dire Dawa,ET,9.5931,41.8661,69.39,70,12,9.51,light rain
251,Naze,JP,28.3667,129.4833,52.41,62,75,10.07,broken clouds
252,Allanridge,ZA,-27.7543,26.6438,76.6,69,37,2.75,scattered clouds
253,Charters Towers,AU,-20.1,146.2667,72.28,76,94,8.81,overcast clouds
254,Kawalu,ID,-7.3817,108.2082,70.83,95,100,1.68,overcast clouds
255,Kailua,US,21.4022,-157.7394,75.18,82,0,0.0,clear sky
256,Ballina,AU,-28.8667,153.5667,73.36,38,40,18.41,light rain
257,Clonakilty,IE,51.6231,-8.8706,43.81,83,3,6.13,clear sky
258,Rybachiy,RU,48.7073,44.7449,17.46,99,71,0.87,broken clouds
259,Tura,IN,25.5198,90.2201,56.64,74,58,2.71,broken clouds
260,Itoman,JP,26.1247,127.6694,59.02,58,40,9.22,scattered clouds
261,Trinidad,BO,-14.8333,-64.9,89.58,66,40,9.22,scattered clouds
262,Ialibu,PG,-6.2821,143.9935,54.54,98,97,2.91,overcast clouds
263,Klyuchi,RU,52.2667,79.1667,-5.69,100,61,2.93,broken clouds
264,Chengannur,IN,9.3333,76.6333,73.74,83,46,2.06,scattered clouds
265,Durania,CO,7.7131,-72.6576,76.12,44,93,5.59,overcast clouds
266,Talnakh,RU,69.4865,88.3972,6.39,95,100,12.19,light snow
267,Sfantu Gheorghe,RO,45.8667,25.7833,31.26,88,47,4.59,light snow
268,Oudtshoorn,ZA,-33.5907,22.2014,66.56,48,0,9.46,clear sky
269,Usinsk,RU,65.9939,57.5281,14.9,91,100,27.09,light snow
270,Zhezkazgan,KZ,47.8043,67.7144,11.5,97,92,7.31,overcast clouds
271,Jaisalmer,IN,26.9147,70.9181,65.14,37,0,8.1,clear sky
272,Laguna,US,38.421,-121.4238,60.08,84,1,1.01,clear sky
273,Cidreira,BR,-30.1811,-50.2056,82.56,75,22,10.25,few clouds
274,Kununurra,AU,-15.7667,128.7333,80.58,89,75,4.61,light rain
275,Bilibino,RU,68.0546,166.4372,-29.88,86,5,3.71,clear sky
276,Bubaque,GW,11.2833,-15.8333,79.05,74,72,12.75,broken clouds
277,Shagonar,RU,51.5333,92.8,11.46,96,100,0.29,overcast clouds
278,Buchanan,LR,5.8808,-10.0467,87.76,70,85,9.19,overcast clouds
279,Lata,PT,40.1629,-8.3327,56.8,73,1,3.47,clear sky
280,Treinta Y Tres,UY,-33.2333,-54.3833,94.46,47,42,4.16,scattered clouds
281,Mbandaka,CD,0.0487,18.2603,78.28,44,94,2.46,overcast clouds
282,Dingzhou,CN,38.5131,114.9956,26.71,59,7,3.8,clear sky
283,Slavyanka,RU,42.8633,131.3847,9.21,66,1,11.05,clear sky
284,Karasburg,NA,-28.0167,18.75,73.94,54,100,19.04,light rain
285,Waki,JP,34.0667,134.15,40.01,86,53,6.55,broken clouds
286,Chikwawa,MW,-16.0335,34.8009,74.5,77,62,2.62,broken clouds
287,Kinablangan,PH,7.6947,126.5503,77.11,82,100,4.9,overcast clouds
288,Leningradskiy,RU,69.3833,178.4167,-34.96,93,14,1.88,few clouds
