City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Sobolevo,RU,2022-01-19 06:02:04,54.4299,31.8996,19.22,95,100,6.46
168,Tuatapere,NZ,2022-01-19 06:02:05,-46.1333,167.6833,56.82,66,82,16.37
169,Berdigestyakh,RU,2022-01-19 06:02:05,62.0989,126.6992,-21.59,96,21,3.44
170,Gayeri,BF,2022-01-19 06:02:06,12.6497,0.4931,58.32,18,0,11.1
171,Coquimbo,CL,2022-01-19 06:02:07,-29.9533,-71.3436,63.18,69,0,4.23
172,Oranjestad,AW,2022-01-19 06:02:07,12.524,-70.027,78.96,82,3,19.66
173,Abu Samrah,SY,2022-01-19 06:02:08,35.3029,37.1841,42.71,78,88,19.39
174,Puerto Cabello,VE,2022-01-19 06:02:08,10.4731,-68.0125,76.05,86,75,8.12
175,Derzhavinsk,KZ,2022-01-19 06:02:09,51.1,66.3167,4.69,100,100,2.62
176,Kapaa,US,2022-01-19 06:02:09,22.0752,-159.319,73.38,59,26,4.43
177,Moosomin,CA,2022-01-19 06:02:10,50.1333,-101.6677,-7.87,92,100,15.88
178,Port-Cartier,CA,2022-01-19 06:02:10,50.0334,-66.8654,-1.25,74,43,13.47
179,Vyartsilya,RU,2022-01-19 06:02:11,62.1764,30.693,31.53,98,100,8.81
180,Lavrentiya,RU,2022-01-19 06:02:11,65.5833,-171.0,-18.36,95,41,5.68
181,Chuy,UY,2022-01-19 06:02:12,-33.6971,-53.4616,72.25,94,100,13.82
182,Saint-Philippe,RE,2022-01-19 06:02:12,-21.3585,55.7679,87.35,79,47,0.76
183,Yar-Sale,RU,2022-01-19 06:03:13,66.8333,70.8333,-17.1,100,91,4.63
184,Stephenville,US,2022-01-19 06:02:42,32.2207,-98.2023,63.91,52,0,9.22
185,Abu Kamal,SY,2022-01-19 06:03:13,34.4506,40.9171,45.14,38,2,18.03
186,Ascoli Piceno,IT,2022-01-19 06:03:14,42.8548,13.5749,42.46,65,0,3.96
187,Lima,PE,2022-01-19 06:01:06,-12.0432,-77.0282,69.13,83,96,7.43
188,Bago,MM,2022-01-19 06:03:14,17.3367,96.4797,86.13,40,34,2.91
189,Menomonie,US,2022-01-19 06:03:15,44.8755,-91.9193,17.64,67,100,24.16
190,Clarence Town,AU,2022-01-19 06:03:15,-32.5833,151.7833,73.81,94,100,7.9
191,Tutoia,BR,2022-01-19 06:03:16,-2.7619,-42.2744,77.36,89,100,11.39
192,Stolbishche,RU,2022-01-19 06:03:16,55.6468,49.216,30.65,86,75,13.0
193,Port Blair,IN,2022-01-19 06:03:17,11.6667,92.75,83.77,59,95,8.81
194,Waingapu,ID,2022-01-19 06:03:17,-9.6567,120.2641,78.91,67,100,6.89
195,Vila Velha,BR,2022-01-19 06:03:17,-20.3297,-40.2925,75.15,93,20,3.44
196,San Quintin,MX,2022-01-19 06:03:18,30.4833,-115.95,59.02,87,20,6.76
197,Olafsvik,IS,2022-01-19 06:03:18,64.8945,-23.7142,29.5,65,46,14.5
198,Limbang,MY,2022-01-19 06:03:19,4.75,115.0,86.11,66,74,5.28
199,Guerrero Negro,MX,2022-01-19 06:03:19,27.9769,-114.0611,61.14,89,85,8.25
200,Lorengau,PG,2022-01-19 06:03:20,-2.0226,147.2712,81.99,79,97,20.96
201,Tadine,NC,2022-01-19 06:03:20,-21.55,167.8833,80.4,72,69,13.87
202,Cabo San Lucas,MX,2022-01-19 06:03:20,22.8909,-109.9124,75.51,61,84,7.4
203,Faya,SA,2022-01-19 06:03:21,18.3851,42.4509,54.82,80,38,6.8
204,Huarmey,PE,2022-01-19 06:03:21,-10.0681,-78.1522,71.58,84,73,4.94
205,Miranda,CO,2022-01-19 06:03:22,3.2499,-76.2281,68.13,88,75,4.74
206,Ola,RU,2022-01-19 06:03:22,59.5833,151.2833,-2.42,77,0,9.24
207,Aklavik,CA,2022-01-19 06:03:23,68.2191,-135.0107,-17.68,96,100,6.62
208,Longyearbyen,SJ,2022-01-19 05:59:47,78.2186,15.6401,12.04,67,40,33.38
209,Hambantota,LK,2022-01-19 06:03:23,6.1241,81.1185,86.34,62,0,14.97
210,Koumac,NC,2022-01-19 06:03:24,-20.5667,164.2833,81.25,70,42,8.41
211,Cap Malheureux,MU,2022-01-19 06:03:24,-19.9842,57.6142,86.47,78,83,4.0
212,Leh,IN,2022-01-19 06:03:24,34.1667,77.5833,12.13,67,96,1.07
213,Chupa,RU,2022-01-19 06:03:25,66.27,33.0549,34.81,99,100,9.35
214,Yanam,IN,2022-01-19 06:03:25,16.7333,82.2167,79.2,51,14,2.66
215,Ruston,US,2022-01-19 06:03:11,32.5232,-92.6379,56.89,84,10,10.42
216,Abu Dhabi,AE,2022-01-19 06:03:26,24.4667,54.3667,71.96,82,84,10.56
217,Pevek,RU,2022-01-19 06:03:27,69.7008,170.3133,-35.18,96,57,3.53
218,Umm Lajj,SA,2022-01-19 06:03:27,25.0213,37.2685,63.3,50,53,11.83
219,Tromso,NO,2022-01-19 06:03:27,69.6496,18.957,34.45,93,75,16.11
220,Grand-Santi,GF,2022-01-19 06:03:28,4.25,-54.3833,70.48,100,74,2.08
221,Talara,PE,2022-01-19 06:03:28,-4.5772,-81.2719,70.59,85,99,8.84
222,Akdagmadeni,TR,2022-01-19 06:03:29,39.6603,35.8836,13.86,89,100,1.77
223,Norton,ZW,2022-01-19 06:03:29,-17.8833,30.7,67.28,78,37,6.11
224,Port Lincoln,AU,2022-01-19 06:03:30,-34.7333,135.8667,70.18,53,28,15.66
225,Nikolskoye,RU,2022-01-19 06:03:30,59.7035,30.7861,34.88,93,97,8.99
226,Omsukchan,RU,2022-01-19 06:03:31,62.5333,155.8,-28.89,92,11,3.87
227,Sao Joao Da Barra,BR,2022-01-19 06:03:31,-21.6403,-41.0511,76.24,92,1,14.2
228,Bien Hoa,VN,2022-01-19 06:03:32,10.95,106.8167,87.78,41,72,3.87
229,Samarina,RU,2022-01-19 06:04:32,57.8878,27.8054,28.29,91,97,9.44
230,Moron,AR,2022-01-19 06:04:33,-34.6534,-58.6198,73.15,97,100,5.01
231,San Juan,AR,2022-01-19 06:04:33,-31.5375,-68.5364,56.98,69,2,8.39
232,Samarai,PG,2022-01-19 06:04:33,-10.6167,150.6667,84.52,67,54,16.42
233,Haimen,CN,2022-01-19 06:04:34,23.1935,116.6142,65.62,60,7,10.76
234,Dong Hoi,VN,2022-01-19 06:04:34,17.4833,106.6,67.6,79,100,10.13
235,The Pas,CA,2022-01-19 06:04:32,53.8251,-101.2541,-12.51,91,70,11.14
236,Sangre Grande,TT,2022-01-19 06:04:35,10.5835,-61.1177,72.93,89,10,8.75
237,Tuy Hoa,VN,2022-01-19 06:04:35,13.0833,109.3,75.72,78,90,15.23
238,Arlit,NE,2022-01-19 06:01:15,18.7369,7.3853,49.86,34,0,6.2
239,Ust-Maya,RU,2022-01-19 06:04:36,60.4167,134.5333,-27.94,96,46,1.21
240,Sinnar,SD,2022-01-19 06:04:37,13.5691,33.5672,63.9,23,8,16.4
241,Bilibino,RU,2022-01-19 06:04:35,68.0546,166.4372,-31.61,85,57,1.95
242,Acapulco,MX,2022-01-19 06:02:01,16.8634,-99.8901,74.41,84,20,4.45
243,Arman,RU,2022-01-19 06:04:37,59.7,150.1667,-1.43,76,0,9.22
244,Salalah,OM,2022-01-19 06:04:38,17.0151,54.0924,78.89,61,40,2.3
245,Fortuna,US,2022-01-19 06:04:38,40.5982,-124.1573,48.33,95,100,0.0
246,Abadan,IR,2022-01-19 06:04:39,30.3392,48.3043,46.35,38,0,9.35
247,Jiuquan,CN,2022-01-19 06:04:39,39.7432,98.5174,31.8,25,0,5.41
248,Dilla,ET,2022-01-19 06:04:40,6.41,38.31,67.1,74,44,0.85
249,Ribeira Grande,PT,2022-01-19 06:04:40,38.5167,-28.7,60.08,82,73,7.05
250,Kendari,ID,2022-01-19 06:04:41,-3.945,122.4989,83.05,78,88,2.68
251,Erzin,TR,2022-01-19 06:04:41,36.9559,36.2,37.92,90,100,7.9
252,Yellowknife,CA,2022-01-19 06:01:18,62.456,-114.3525,-30.71,100,56,6.17
253,Mar Del Plata,AR,2022-01-19 06:04:42,-38.0023,-57.5575,68.09,93,85,5.99
254,Codrington,AU,2022-01-19 06:04:42,-38.2667,141.9667,74.68,51,13,24.18
255,Odessa,UA,2022-01-19 06:02:40,46.4775,30.7326,21.13,73,0,15.66
256,Esperance,AU,2022-01-19 06:04:43,-33.8667,121.9,79.05,48,1,20.85
257,Victoria,HK,2022-01-19 05:59:46,22.2855,114.1577,69.96,70,10,1.01
258,Hit,IQ,2022-01-19 06:04:44,33.6416,42.8251,42.37,21,0,13.35
259,La Ronge,CA,2022-01-19 06:00:08,55.1001,-105.2842,-19.7,93,31,9.66
260,Zhezkazgan,KZ,2022-01-19 06:04:45,47.8043,67.7144,8.58,85,20,11.18
261,Kenai,US,2022-01-19 06:04:45,60.5544,-151.2583,23.14,89,100,10.36
262,Konskie,PL,2022-01-19 06:00:21,51.1917,20.4061,33.24,91,93,11.72
263,Roebourne,AU,2022-01-19 06:04:46,-20.7833,117.1333,90.7,52,0,14.99
264,Krasnotorka,UA,2022-01-19 06:04:46,48.682,37.5327,20.12,93,98,11.1
