City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
307,Lorengau,PG,80.47,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
312,Necochea,AR,71.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
313,Goundam,ML,74.61,clear sky,16.4145,-3.6708,
314,Atar,MR,85.21,overcast clouds,20.5169,-13.0499,Oumou Elghoura
317,Tabou,CI,81.55,broken clouds,4.423,-7.3528,hotêl doufoulougou
319,Gamba,GA,77.31,overcast clouds,-2.65,10.0,
321,Omboue,GA,77.38,light rain,-1.5746,9.2618,Hotel Olako
322,Kavaratti,IN,80.67,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
325,Sao Filipe,CV,73.36,overcast clouds,14.8961,-24.4956,Hotel Xaguate
326,Port Hedland,AU,86.05,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
332,Sechura,PE,84.27,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
336,Vanimo,PG,76.5,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
337,Meulaboh,ID,76.26,scattered clouds,4.1363,96.1285,Kost Pria
347,Vieux-Habitants,GP,83.77,broken clouds,16.0589,-61.7659,Gîtes Dardanelle
348,Peringat,MY,76.98,few clouds,6.0333,102.2833,Daseda Guest House
352,Tougan,BF,78.4,clear sky,13.0667,-3.0667,Hôtel SMAK
353,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
354,Bandarbeyla,SO,77.52,broken clouds,9.4942,50.8122,JABIR HOTEL
356,Bull Savanna,JM,83.25,clear sky,17.8868,-77.5902,Big Red's
358,San Nicolas,PH,73.56,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
363,Vao,NC,77.09,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
365,Vredendal,ZA,76.53,clear sky,-31.6683,18.5012,Tharrakamma Guest House
371,Pisco,PE,77.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
372,Daru,PG,76.37,overcast clouds,-9.0763,143.2092,Daru Lodge
377,Lahat,ID,71.1,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
379,Puerto Escondido,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
381,Adrar,MR,75.56,scattered clouds,20.5022,-10.0711,
383,Manzanillo,CU,86.25,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
387,Iquique,CL,73.44,overcast clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
389,Payo,ID,71.35,overcast clouds,-3.7508,103.6372,Mess keban agung
397,Santa Ines,BR,87.01,broken clouds,-3.6667,-45.38,Palace hotel
399,Hambantota,LK,75.29,broken clouds,6.1241,81.1185,Bungalow 63
403,Kollam,IN,82.27,scattered clouds,8.8833,76.6,Nani Hotels and Resorts
411,Kualakapuas,ID,75.36,moderate rain,-3.0091,114.3876,Guest House Izonk
413,Taltal,CL,70.77,scattered clouds,-25.4,-70.4833,Residencial Karime
416,Maun,BW,79.47,broken clouds,-19.9833,23.4167,Enviro Villa
422,Qandala,SO,75.81,broken clouds,11.472,49.8728,
423,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
428,Kirakira,SB,78.53,broken clouds,-10.4544,161.9205,SanBiz Lodge
431,Batticaloa,LK,75.13,overcast clouds,7.7102,81.6924,Grand Star Guest House
434,Nouadhibou,MR,71.58,overcast clouds,20.931,-17.0347,El Medina
437,San Policarpo,PH,77.68,overcast clouds,12.1791,125.5072,Agapita M. Nicart
438,Guaratinga,BR,83.07,broken clouds,-16.5667,-39.5667,Hotel Caraíva
439,Upata,VE,81.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
442,Perth,AU,88.02,clear sky,-31.9333,115.8333,Beatty Lodge
443,Koumac,NC,78.49,scattered clouds,-20.5667,164.2833,Le Monitel
446,San Borja,BO,85.48,overcast clouds,-14.8167,-66.85,
452,Ternate,ID,79.41,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
456,Roebourne,AU,85.41,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
459,Le Moule,GP,84.24,scattered clouds,16.3332,-61.3473,Lakaz Hananou
